Comp_date  Comp_time	Event	Pico_time[ms]	ADC_value[0-65535]	SiPM[mV]	Temp[deg]	Pres[Pa]	Deadtime[ms]
2021-01-01 00:00:19	76	10995	26166	26166000	25.49	75025.91	0
2021-01-01 00:00:20	77	11123	29223	29223000	25.49	75025.91	0
2021-01-01 00:00:20	78	11160	28598	28598000	25.49	75025.58	0
2021-01-01 00:00:20	79	11803	25462	25462000	25.49	75025.59	0
2021-01-01 00:00:20	80	11840	26214	26214000	25.49	75025.59	0
2021-01-01 00:00:21	81	12090	26582	26582000	25.49	75025.59	0
2021-01-01 00:00:21	82	12174	27910	27910000	25.49	75025.59	0
2021-01-01 00:00:21	83	12437	25222	25222000	25.48	75024.98	0
2021-01-01 00:00:21	84	12444	25414	25414000	25.48	75024.98	0
2021-01-01 00:00:21	85	12626	26838	26838000	25.48	75024.98	0
2021-01-01 00:00:21	86	12816	25990	25990000	25.48	75025.14	0
2021-01-01 00:00:21	87	12837	25078	25078000	25.48	75025.14	0
2021-01-01 00:00:21	88	13008	25718	25718000	25.48	75025.47	0
2021-01-01 00:00:22	89	13024	26982	26982000	25.48	75025.47	0
2021-01-01 00:00:22	90	13025	27318	27318000	25.48	75025.47	0
2021-01-01 00:00:22	91	13444	28679	28679000	25.48	75025.98	0
2021-01-01 00:00:22	92	13769	26790	26790000	25.48	75025.33	0
2021-01-01 00:00:22	93	13857	25510	25510000	25.48	75025.33	0
2021-01-01 00:00:22	94	13924	26598	26598000	25.48	75025.33	0
2021-01-01 00:00:23	95	14239	27158	27158000	25.48	75025.16	0
2021-01-01 00:00:23	96	14392	28246	28246000	25.48	75025.16	0
2021-01-01 00:00:23	97	14456	28614	28614000	25.48	75025.16	0
2021-01-01 00:00:23	98	14590	29191	29191000	25.48	75025.16	0
2021-01-01 00:00:23	99	14591	25030	25030000	25.48	75025.16	0
2021-01-01 00:00:23	100	14776	25622	25622000	25.48	75025.68	0
2021-01-01 00:00:23	101	14938	25750	25750000	25.48	75025.68	0
